"Localitate","Judet","Agentie","KM"
"Berindia","Arad","Ineu","30"
"Birchis","Arad","Arad","80"
"Bochia","Arad","Ineu","25"
"Bocsig","Arad","Ineu",""
"Bodesti","Arad","Ineu","70"
"Bodrogu Nou","Arad","Arad",""
"Bodrogu Vechi","Arad","Arad",""
"Bontesti","Arad","Ineu","30"
"Botfei","Arad","Ineu","27"
"Brazii","Arad","Ineu","25"
"Brusturi","Arad","Ineu","70"
"Bruznic","Arad","Arad","62"
"Buceava-soimus","Arad","Ineu","57"
"Budesti","Arad","Ineu","68"
"Buhani","Arad","Ineu","30"
"Bulci","Arad","Arad","75"
"Buteni","Arad","Ineu","25"
"Calugareni","Arad","Arad",""
"Camna","Arad","Ineu",""
"Capalnas","Arad","Arad","84"
"Caporal Alexa","Arad","Arad","32"
"Caprioara","Arad","Arad","94"
"Capruta","Arad","Arad","65"
"Carand","Arad","Ineu","25"
"Cermei","Arad","Ineu","15"
"Chelmac","Arad","Arad","52"
"Cherelus","Arad","Ineu",""
"Chesint","Arad","Arad","29"
"Chier","Arad","Ineu",""
"Chisindia","Arad","Ineu","25"
"Chisineu-Cris","Arad","Arad",""
"Chislaca","Arad","Ineu","25"
"Cicir","Arad","Arad",""
"Cil","Arad","Ineu","35"
"Cintei","Arad","Arad","44"
"Ciuntesti","Arad","Ineu","38"
"Cladova","Arad","Arad","32"
"Clit","Arad","Ineu","28"
"Cociuba","Arad","Ineu","35"
"Comanesti","Arad","Ineu","20"
"Conop","Arad","Arad","52"
"Corbesti","Arad","Arad","110"
"Coroi","Arad","Ineu","32"
"Covasint","Arad","Arad","30"
"Craiva","Arad","Ineu","30"
"Cristesti","Arad","Ineu","75"
"Crocna","Arad","Ineu","30"
"Cruceni","Arad","Arad",""
"Cuias","Arad","Arad","93"
"Cuied","Arad","Ineu",""
"Curtici","Arad","Arad",""
"Cuvesdia","Arad","Arad","54"
"Cuvin","Arad","Arad","26"
"Dezna","Arad","Ineu","30"
"Dieci","Arad","Ineu","37"
"Donceni","Arad","Ineu","25"
"Dorgos","Arad","Arad","48"
"Dorobanti","Arad","Arad",""
"Draut","Arad","Ineu",""
"Dud","Arad","Ineu","18"
"Dulcele","Arad","Ineu","61"
"Dumbrava","Arad","Ineu","46"
"Dumbravita","Arad","Arad","69"
"Fantanele","Arad","Arad",""
"Felnac","Arad","Arad",""
"Fenis","Arad","Ineu","51"
"Firiteaz","Arad","Arad","26"
"Fiscut","Arad","Arad",""
"Frumuseni","Arad","Arad",""
"Galsa","Arad","Ineu","25"
"Ghioroc","Arad","Arad","23"
"Graniceri","Arad","Arad","60"
"Groseni","Arad","Ineu","29"
"Grosi","Arad","Ineu","65"
"Grosii Noi","Arad","Arad","74"
"Gura Vaii","Arad","Ineu","40"
"Gurahont","Arad","Ineu","48"
"Gurba","Arad","Ineu",""
"Halalis","Arad","Arad","86"
"Halmagel","Arad","Ineu","65"
"Halmagiu","Arad","Ineu","65"
"Hasmas","Arad","Ineu","27"
"Hodis","Arad","Ineu","15"
"Hontisor","Arad","Ineu","40"
"Horia","Arad","Arad",""
"Hunedoara Timisana","Arad","Arad","23"
"Iacobini","Arad","Ineu","39"
"Iercoseni","Arad","Ineu",""
"Iermata","Arad","Ineu",""
"Iermata Neagra","Arad","Arad","57"
"Ignesti","Arad","Ineu","20"
"Ilteu","Arad","Arad","99"
"Ineu","Arad","Ineu",""
"Ionesti","Arad","Ineu","83"
"Iosas","Arad","Ineu","36"
"Iratosu","Arad","Arad",""
"Joia Mare","Arad","Ineu","30"
"Julita","Arad","Arad","70"
"Labasint","Arad","Arad","52"
"Lalasint","Arad","Arad","60"
"Laz","Arad","Ineu","35"
"Lazuri","Arad","Ineu","60"
"Leasa","Arad","Ineu","60"
"Lestioara","Arad","Ineu","60"
"Lipova","Arad","Arad",""
"Livada","Arad","Arad",""
"Luguzau","Arad","Ineu","25"
"Luncsoara","Arad","Ineu","85"
"Lupesti","Arad","Arad","90"
"Macea","Arad","Arad",""
"Maderat","Arad","Ineu","23"
"Madrigesti","Arad","Ineu","43"
"Magulicea","Arad","Ineu","70"
"Mailat","Arad","Arad","33"
"Manastur","Arad","Arad","28"
"Mandruloc","Arad","Arad",""
"Manerau","Arad","Ineu",""
"Maraus","Arad","Ineu","34"
"Masca","Arad","Ineu","23"
"Mermesti","Arad","Ineu","74"
"Milova","Arad","Arad","44"
"Minead","Arad","Ineu","23"
"Minis","Arad","Arad","26"
"Minisel","Arad","Ineu",""
"Minisu de Sus","Arad","Ineu",""
"Misca","Arad","Arad","56"
"Mocrea","Arad","Ineu",""
"Moneasa","Arad","Ineu","40"
"Monorostia","Arad","Arad","63"
"Moroda","Arad","Ineu",""
"Motiori","Arad","Ineu","19"
"Munar","Arad","Arad","28"
"Mustesti","Arad","Ineu","36"
"Nadab","Arad","Arad",""
"Nadalbesti","Arad","Ineu","30"
"Nadas","Arad","Ineu",""
"Nadlac","Arad","Arad",""
"Neagra","Arad","Ineu","30"
"Nermis","Arad","Ineu","22"
"Neudorf","Arad","Arad","33"
"Nicolae Balcescu","Arad","Arad","74"
"Obarsia","Arad","Arad","110"
"Odvos","Arad","Arad","46"
"Olari","Arad","Arad","30"
"Ostrov","Arad","Arad","76"
"Paiuseni","Arad","Ineu","25"
"Pancota","Arad","Ineu","20"
"Parnesti","Arad","Arad","90"
"Patars","Arad","Arad","54"
"Paulian","Arad","Ineu","20"
"Paulis","Arad","Arad",""
"Pecica","Arad","Arad",""
"Peregu Mare","Arad","Arad","40"
"Peregu Mic","Arad","Arad","35"
"Pescari","Arad","Ineu","34"
"Petris","Arad","Arad","105"
"Pilu","Arad","Arad","61"
"Plescuta","Arad","Ineu","42"
"Poiana","Arad","Ineu","61"
"Poienari","Arad","Ineu","65"
"Prunisor","Arad","Ineu","20"
"Radesti","Arad","Ineu","40"
"Radna","Arad","Arad",""
"Ranusa","Arad","Ineu","35"
"Rapsig","Arad","Ineu",""
"Revetis","Arad","Ineu","35"
"Rogoz de Beliu","Arad","Ineu","34"
"Rosia","Arad","Ineu","40"
"Rosia Noua","Arad","Arad","100"
"Rostoci","Arad","Ineu","41"
"Sagu","Arad","Arad",""
"Salajeni","Arad","Ineu","25"
"Sambateni","Arad","Arad",""
"Sanleani","Arad","Arad",""
"Sanmartin","Arad","Arad","30"
"Sanpaul","Arad","Arad",""
"Sanpetru German","Arad","Arad","30"
"Santana","Arad","Arad",""
"Sarbi","Arad","Ineu","60"
"Satu Mare","Arad","Arad","38"
"Satu Mic","Arad","Ineu",""
"Satu Nou","Arad","Arad","50"
"Savarsin","Arad","Arad","88"
"Sebis","Arad","Ineu",""
"Secaci","Arad","Ineu","20"
"Secas","Arad","Ineu","55"
"Secusigiu","Arad","Arad","32"
"Sederhat","Arad","Arad",""
"Seitin","Arad","Arad","44"
"Seleus","Arad","Ineu",""
"Seliste","Arad","Arad","105"
"Selistea","Arad","Ineu","22"
"Semlac","Arad","Arad","35"
"Sepreus","Arad","Arad","63"
"Siad","Arad","Ineu","33"
"Siclau","Arad","Arad","54"
"Sicula","Arad","Ineu",""
"Silindia","Arad","Ineu",""
"Simand","Arad","Arad","31"
"Sintea Mare","Arad","Arad","50"
"Sintea Mica","Arad","Arad","32"
"Siria","Arad","Ineu","29"
"Sistarovat","Arad","Arad","43"
"Slatina de Cris","Arad","Ineu","35"
"Slatina de Mures","Arad","Arad","83"
"Socodor","Arad","Arad","49"
"Sofronea","Arad","Arad",""
"Soimos","Arad","Arad",""
"Somosches","Arad","Ineu","20"
"Stejar","Arad","Arad","80"
"Stoinesti","Arad","Ineu","36"
"Susag","Arad","Ineu","38"
"Susani","Arad","Ineu","25"
"Tagadau","Arad","Ineu","17"
"Talagiu","Arad","Ineu","50"
"Talmaci","Arad","Ineu","41"
"Tarmure","Arad","Ineu","81"
"Tarnavita","Arad","Ineu","80"
"Tarnova","Arad","Ineu","20"
"Taut","Arad","Ineu",""
"Tela","Arad","Arad","70"
"Temesesti","Arad","Arad","93"
"Tipar","Arad","Arad","55"
"Tisa","Arad","Ineu",""
"Tisa Noua","Arad","Arad",""
"Toc","Arad","Arad","95"
"Tohesti","Arad","Ineu","80"
"Troas","Arad","Arad","99"
"Turnu","Arad","Arad",""
"Urvisu de Beliu","Arad","Ineu","29"
"Ususau","Arad","Arad","46"
"Valea Mare (Gurahont)","Arad","Ineu","54"
"Valea Mare (Savarsin)","Arad","Arad","91"
"Vanatori","Arad","Arad","62"
"Varadia de Mures","Arad","Arad","80"
"Varfurile","Arad","Ineu","55"
"Variasu Mare","Arad","Arad",""
"Variasu Mic","Arad","Arad",""
"Varnita","Arad","Arad","51"
"Varsand","Arad","Arad","65"
"Vasile Goldis","Arad","Ineu","22"
"Vasoaia","Arad","Ineu","40"
"Vidra","Arad","Ineu","55"
"Vinga","Arad","Arad",""
"Virismort","Arad","Arad","75"
"Vladimirescu","Arad","Arad",""
"Voivodeni","Arad","Ineu",""
"Zabalt","Arad","Arad","57"
"Zabrani","Arad","Arad","26"
"Zadareni","Arad","Arad",""
"Zarand","Arad","Arad","20"
"Zerind","Arad","Arad","55"
"Zerindu Mic","Arad","Arad","57"
"Zimandcuz","Arad","Arad",""
"Zimandu Nou","Arad","Arad",""
"Zimbru","Arad","Ineu","40"
"ADUNATI","Arges","Pitesti","63"
"Afrimesti","Arges","Pitesti","50"
"Albesti","Arges","Campulung",""
"Albestii de Arges","Arges","Curtea de Arges",""
"Albestii de Muscel","Arges","Campulung",""
"Albestii Pamanteni","Arges","Curtea de Arges",""
"Albestii Ungureni","Arges","Curtea de Arges",""
"Albota","Arges","Pitesti",""
"Albotele","Arges","Gaesti","25"
"Alunis","Arges","Curtea de Arges","23"
"Alunisu (Baiculesti)","Arges","Curtea de Arges","22"
"Alunisu (Bradulet)","Arges","Curtea de Arges","27"
"Anghinesti","Arges","Curtea de Arges",""
"Aninoasa","Arges","Campulung","20"
"Arefu","Arges","Curtea de Arges","27"
"Argesani","Arges","Curtea de Arges",""
"Argeselu","Arges","Pitesti",""
"Babana","Arges","Pitesti","20"
"Babaroaga","Arges","Pitesti","50"
"Bacesti","Arges","Pitesti",""
"Badeni","Arges","Campulung",""
"Badesti (Barla)","Arges","Pitesti","32"
"Badesti (Pietrosani)","Arges","Curtea de Arges","29"
"Badicea","Arges","Pitesti","30"
"Badila","Arges","Curtea de Arges",""
"Badislava","Arges","Curtea de Arges",""
"Badulesti","Arges","Pitesti","35"
"Baiculesti","Arges","Curtea de Arges",""
"Baila","Arges","Gaesti",""
"Bajanesti","Arges","Pitesti",""
"Bajesti","Arges","Pitesti","24"
"Balabani","Arges","Campulung","26"
"Balilesti","Arges","Pitesti","30"
"Balilesti (Tigveni)","Arges","Curtea de Arges",""
"Baloteasca","Arges","Gaesti",""
"Baltata","Arges","Pitesti","45"
"Balteni","Arges","Curtea de Arges",""
"Banaresti","Arges","Pitesti",""
"Banicesti","Arges","Curtea de Arges",""
"Bantau","Arges","Gaesti",""
"Baranesti","Arges","Pitesti","35"
"Barasti","Arges","Curtea de Arges",""
"Barbalani","Arges","Pitesti","55"
"Barbalatesti","Arges","Curtea de Arges",""
"Barbatesti","Arges","Pitesti","29"
"Barla","Arges","Pitesti","54"
"Barlogu","Arges","Pitesti","36"
"Barloi","Arges","Gaesti","26"
"Barsestii de Jos","Arges","Curtea de Arges",""
"Barsestii de Sus","Arges","Curtea de Arges",""
"Barzesti","Arges","Pitesti",""
"Bascov","Arges","Pitesti",""
"Bascovele","Arges","Pitesti","29"
"Batrani","Arges","Pitesti",""
"Beculesti","Arges","Pitesti","52"
"Beleti","Arges","Gaesti","25"
"Beleti-Negresti","Arges","Gaesti","35"
"Berevoesti","Arges","Campulung",""
"Berindesti","Arges","Curtea de Arges","23"
"Bilcesti","Arges","Campulung",""
"Blaju","Arges","Curtea de Arges",""
"Blejani","Arges","Pitesti","30"
"Bogati","Arges","Gaesti","25"
"Bolculesti","Arges","Curtea de Arges",""
"Bolovanesti","Arges","Curtea de Arges","22"
"Bordeieni","Arges","Campulung",""
"Borlesti","Arges","Pitesti",""
"Borobanesti","Arges","Curtea de Arges",""
"Borovinesti","Arges","Curtea de Arges",""
"Botarcani","Arges","Gaesti",""
"Boteni","Arges","Campulung","20"
"Botesti","Arges","Gaesti",""
"Brabeti","Arges","Pitesti","50"
"Bradetu","Arges","Curtea de Arges","29"
"Bradu","Arges","Pitesti",""
"Bradulet","Arges","Curtea de Arges","26"
"Braileni","Arges","Pitesti",""
"Branistea","Arges","Pitesti","36"
"Branzari","Arges","Pitesti",""
"Brateasca","Arges","Pitesti",""
"Bratesti","Arges","Curtea de Arges",""
"Bratia (Berevoesti)","Arges","Campulung","22"
"Bratia (Ciomagesti)","Arges","Pitesti","45"
"Brosteni (Aninoasa)","Arges","Campulung","21"
"Brosteni (Costesti)","Arges","Pitesti",""
"Bucov","Arges","Pitesti","60"
"Bucsenesti","Arges","Curtea de Arges",""
"Bucsenesti-Lotasi","Arges","Pitesti","23"
"Budeasa","Arges","Pitesti",""
"Budeasa Mare","Arges","Pitesti",""
"Budeasa Mica","Arges","Pitesti",""
"Budisteni","Arges","Gaesti",""
"Bughea de Jos","Arges","Campulung",""
"Bughea de Sus","Arges","Campulung",""
"Bujoi","Arges","Gaesti","28"
"Bujoreni","Arges","Pitesti","33"
"Bumbueni","Arges","Pitesti",""
"Bunesti (Cotmeana)","Arges","Pitesti","30"
"Bunesti (Malureni)","Arges","Curtea de Arges","23"
"Burdea","Arges","Pitesti","62"
"Burdesti","Arges","Pitesti",""
"Buretesti","Arges","Pitesti","35"
"Burlusi","Arges","Curtea de Arges",""
"Burnesti","Arges","Campulung",""
"Buta","Arges","Pitesti","40"
"Buzoesti","Arges","Pitesti","39"
"Caldararu","Arges","Pitesti","55"
"Calinesti","Arges","Pitesti",""
"Calotesti","Arges","Pitesti",""
"Campulung","Arges","Campulung",""
"Candesti","Arges","Campulung",""
"Capatanenii Pamanteni","Arges","Curtea de Arges","22"
"Capatanenii Ungureni","Arges","Curtea de Arges","24"
"Capu Piscului (Godeni)","Arges","Campulung",""
"Capu Piscului (Merisani)","Arges","Pitesti","20"
"Carcesti","Arges","Pitesti","44"
"Carciumaresti","Arges","Gaesti",""
"Carpenis","Arges","Curtea de Arges","23"
"Carstieni","Arges","Pitesti",""
"Catane","Arges","Pitesti","29"
"Catanele","Arges","Pitesti",""
"Cateasca","Arges","Pitesti",""
"Catunasi","Arges","Pitesti",""
"Ceauresti","Arges","Curtea de Arges","23"
"Ceausesti","Arges","Pitesti","20"
"Cepari","Arges","Curtea de Arges","23"
"Cepari (Poiana Lacului)","Arges","Pitesti","20"
"Ceparii Pamanteni","Arges","Curtea de Arges",""
"Ceparii Ungureni","Arges","Curtea de Arges","20"
"Cerbu","Arges","Pitesti",""
"Cerbureni","Arges","Curtea de Arges",""
"Cersani","Arges","Pitesti",""
"Cetateni","Arges","Campulung","25"
"Chilii","Arges","Campulung",""
"Chiritesti (Suseni)","Arges","Pitesti",""
"Chiritesti (Uda)","Arges","Pitesti","31"
"Chiritesti (Vedea)","Arges","Pitesti","28"
"Chitani","Arges","Pitesti",""
"Chitesti","Arges","Gaesti","25"
"Cicanesti","Arges","Curtea de Arges",""
"Ciesti","Arges","Pitesti","30"
"Ciobanesti","Arges","Pitesti",""
"Ciobani","Arges","Pitesti",""
"Ciocanai","Arges","Pitesti",""
"Ciocanesti","Arges","Pitesti",""
"Ciocanu","Arges","Campulung","37"
"Ciocesti","Arges","Pitesti","40"
"Ciofrangeni","Arges","Curtea de Arges",""
"Ciolcesti","Arges","Gaesti",""
"Ciomagesti","Arges","Pitesti",""
"Ciresu","Arges","Pitesti","20"
"Cismea","Arges","Pitesti",""
"Ciulnita","Arges","Gaesti",""
"Ciupa-Manciulescu","Arges","Pitesti",""
"Ciuresti","Arges","Pitesti","25"
"Clucereasa","Arges","Pitesti",""
"Cocenesti","Arges","Campulung",""
"Cochinesti","Arges","Pitesti","37"
"Cocu","Arges","Pitesti","20"
"Colibasi","Arges","Pitesti",""
"Colnic","Arges","Campulung",""
"Coltu","Arges","Pitesti","45"
"Contesti","Arges","Pitesti",""
"Corbeni","Arges","Curtea de Arges","20"
"Corbi","Arges","Curtea de Arges","28"
"Corbsori","Arges","Curtea de Arges","30"
"Cornatel","Arges","Pitesti","37"
"Cosaci","Arges","Curtea de Arges","25"
"Coseri","Arges","Pitesti",""
"Cosesti","Arges","Pitesti","25"
"Costesti","Arges","Pitesti","25"
"Costesti (Cotmeana)","Arges","Pitesti","30"
"Costesti-Valsan","Arges","Curtea de Arges","25"
"Costita","Arges","Campulung",""
"Coteasca","Arges","Campulung","27"
"Cotenesti","Arges","Campulung",""
"Cotesti","Arges","Campulung",""
"Cotmeana","Arges","Pitesti","30"
"Cotmeana (Stolnici)","Arges","Pitesti","34"
"Cotmenita","Arges","Pitesti",""
"Cotu (Cuca)","Arges","Pitesti","46"
"Cotu (Uda)","Arges","Pitesti","46"
"Cotu Malului","Arges","Gaesti",""
"Crampotani","Arges","Curtea de Arges",""
"Crintesti","Arges","Gaesti",""
"Crivatu","Arges","Pitesti","45"
"Crucisoara","Arges","Pitesti",""
"Cuca","Arges","Pitesti","45"
"Cungrea","Arges","Pitesti","50"
"Curtea de Arges","Arges","Curtea de Arges",""
"Curteanca","Arges","Pitesti","40"
"Dambovicioara","Arges","Campulung","33"
"Darmanesti","Arges","Pitesti",""
"Davidesti","Arges","Pitesti","25"
"Deagu de Jos","Arges","Pitesti","45"
"Deagu de Sus","Arges","Pitesti","49"
"Dealu","Arges","Pitesti","38"
"Dealu Bisericii","Arges","Pitesti","32"
"Dealu Bradului","Arges","Pitesti","27"
"Dealu Frumos","Arges","Pitesti",""
"Dealu Obejdeanului","Arges","Pitesti","38"
"Dealu Orasului","Arges","Pitesti",""
"Dealu Padurii","Arges","Pitesti","35"
"Dealu Tolcesii","Arges","Pitesti","36"
"Dealu Viilor (Mosoaia)","Arges","Pitesti",""
"Dealu Viilor (Poiana Lacului)","Arges","Pitesti",""
"Dedulesti","Arges","Pitesti","39"
"Diconesti","Arges","Pitesti","29"
"Dincani","Arges","Pitesti","30"
"Dinculesti","Arges","Pitesti",""
"Doblea","Arges","Curtea de Arges",""
"Dobresti","Arges","Gaesti","35"
"Dobrogostea","Arges","Pitesti",""
"Dobrotu","Arges","Curtea de Arges",""
"Dogari","Arges","Pitesti","45"
"Domnesti","Arges","Curtea de Arges","24"
"Draganu","Arges","Pitesti","20"
"Draganu-Olteni","Arges","Pitesti",""
"Draghescu","Arges","Campulung","28"
"Draghicesti","Arges","Pitesti","25"
"Draghici","Arges","Campulung","20"
"Dragolesti","Arges","Pitesti","34"
"Dragoslavele","Arges","Campulung",""
"Dumbrava","Arges","Pitesti","40"
"Dumbravesti","Arges","Pitesti","20"
"Dumiresti","Arges","Curtea de Arges",""
"Enculesti","Arges","Pitesti",""
"Facaletesti","Arges","Pitesti",""
"Fagetu","Arges","Pitesti",""
"Falfani","Arges","Pitesti","32"
"Fantanea","Arges","Campulung",""
"Fata","Arges","Pitesti","32"
"Fedelesoiu","Arges","Pitesti","50"
"Florieni","Arges","Curtea de Arges","23"
"Fratesti","Arges","Pitesti",""
"Fratici","Arges","Pitesti","30"
"Furduesti","Arges","Pitesti","25"
"Furesti","Arges","Gaesti","30"
"Furnicosi","Arges","Campulung",""
"Gainusa","Arges","Pitesti","23"
"Galasesti (Budeasa)","Arges","Pitesti",""
"Galasesti (Suseni)","Arges","Pitesti","22"
"Galcesti","Arges","Pitesti",""
"Galesu","Arges","Curtea de Arges","25"
"Galeteanu","Arges","Pitesti",""
"Gamacesti","Arges","Campulung",""
"Ganesti","Arges","Curtea de Arges","34"
"Gardinesti","Arges","Pitesti","24"
"Gaujani","Arges","Pitesti","40"
"Geamana","Arges","Pitesti",""
"Giuclani","Arges","Pitesti","50"
"Glambocata","Arges","Gaesti",""
"Glambocata-Deal","Arges","Gaesti",""
"Glambocel","Arges","Gaesti","24"
"Glambocelu","Arges","Gaesti","20"
"Glambocu","Arges","Pitesti",""
"Glavacioc","Arges","Pitesti","65"
"Gliganu de Jos","Arges","Pitesti","25"
"Gliganu de Sus","Arges","Pitesti","25"
"Glodu (Calinesti)","Arges","Pitesti",""
"Glodu (Leordeni)","Arges","Gaesti",""
"Godeni","Arges","Campulung",""
"Goia","Arges","Pitesti","45"
"Goleasca","Arges","Pitesti","50"
"Golesti (Balilesti)","Arges","Pitesti","30"
"Golesti (stefanesti)","Arges","Pitesti",""
"Goranesti","Arges","Gaesti",""
"Gorani","Arges","Pitesti","36"
"Gorganu","Arges","Pitesti",""
"Greaban","Arges","Pitesti","33"
"Greabanu","Arges","Pitesti","25"
"Grosani","Arges","Campulung",""
"Grosi","Arges","Pitesti",""
"Gruiu (Cateasca)","Arges","Pitesti","25"
"Gruiu (Nucsoara)","Arges","Curtea de Arges","32"
"Gura Pravat","Arges","Campulung",""
"Gura Vaii","Arges","Pitesti",""
"Harsesti","Arges","Pitesti","42"
"Hartiesti","Arges","Pitesti","40"
"Hintesti","Arges","Pitesti",""
"Huluba","Arges","Pitesti","34"
"Humele","Arges","Pitesti","45"
"Ianculesti","Arges","Curtea de Arges","30"
"Ioanicesti","Arges","Curtea de Arges","23"
"Ionesti","Arges","Pitesti","32"
"Izbasesti","Arges","Pitesti","35"
"Izvorani","Arges","Pitesti",""
"Izvoru","Arges","Pitesti","50"
"Izvoru de Jos","Arges","Pitesti","27"
"Izvoru de Sus","Arges","Pitesti","25"
"Jgheaburi","Arges","Curtea de Arges","28"
"Jugur","Arges","Campulung",""
"Jupanesti","Arges","Pitesti","29"
"Laceni","Arges","Pitesti","20"
"Lacurile","Arges","Curtea de Arges",""
"Laicai","Arges","Campulung","27"
"Langesti","Arges","Pitesti","20"
"Lapusani","Arges","Pitesti","34"
"Launele de Sus","Arges","Pitesti","50"
"Lazaresti (Mosoaia)","Arges","Pitesti",""
"Lazaresti (Schitu Golesti)","Arges","Campulung",""
"Leicesti","Arges","Pitesti","30"
"Lentea","Arges","Gaesti","40"
"Leordeni","Arges","Gaesti",""
"Leresti","Arges","Campulung",""
"Lesile","Arges","Pitesti","40"
"Lespezi","Arges","Campulung","26"
"Lintesti","Arges","Pitesti","30"
"Lipia","Arges","Pitesti",""
"Livezeni","Arges","Pitesti","25"
"Loturi","Arges","Campulung",""
"Lucieni","Arges","Campulung","26"
"Luminile","Arges","Pitesti","35"
"Lunca","Arges","Campulung","23"
"Lunca Corbului","Arges","Pitesti","24"
"Lunca Gartii","Arges","Campulung",""
"Lungani","Arges","Pitesti","30"
"Lungulesti","Arges","Pitesti","29"
"Lupueni","Arges","Pitesti",""
"Macai","Arges","Pitesti","40"
"Malu (Barla)","Arges","Pitesti","50"
"Malu (Godeni)","Arges","Campulung",""
"Malu Vanat","Arges","Pitesti",""
